nom	Procedes	NaPond	MgPond	AlPond	SiPond	PPond	SPond	ClPond	KPond	CaPond	TiPond	VPond	MnPond
montbard3	I	0	0.252407897	4.342537645	9.782375717	11.3464986	0.119715852	0.287276185	1.131756109	9.609415612	0.200720787	0.080397387	0.611340179
montbardtirant	I	0	0.963275482	1.902469076	4.753724565	17.85831804	0.239860387	0.27408622	1.547071543	10.18053321	2.489563917	2.908436991	0.309310473
NoisielL	I	0	0.270050038	2.187268919	9.621256029	16.3864346	1.350282179	0.29224429	0.493144985	9.04153512	0.15239697	0.208991013	0.33527202
ouen08	I	0	0.224197231	0.9881179	23.84564289	3.62096997	0.326717071	0.309330431	0.788385445	3.759620731	0.270162699	0.252494401	0.349084102
ouen13	I	0	0.395449227	0.355321116	6.296247438	18.33687011	1.381249061	0.368245325	1.076886762	4.74065797	0.321617729	0.300584338	1.077250971
OUEN15	I	0	0.236188998	0.772272417	9.739177556	17.79844696	0.442071971	0.336020957	1.043705083	2.332988558	0.480122881	1.490990643	0.595351483
ouen16	I	0	0.331526776	0.978230674	10.98598873	12.74524824	0.29986771	0.411187231	0.499683466	2.524309747	0.359122288	0.43830132	0.858184485
ouen17	I	0	0.250934093	0.989938164	7.821095587	12.28514566	0.405908263	0.324544075	0.74191116	8.756066729	0.283449976	7.920889935	0.36625293
ouen20	I	0	0.242412701	0.887602079	13.44442797	10.55137585	0.856328143	0.299241026	0.381485611	10.82292398	0.317802603	2.260859567	1.833700436
ouen24	I	0	0.27160229	2.672303327	13.62369441	9.859461083	0.537313582	0.302149462	0.854610987	7.035490979	0.369041403	3.085946175	0.45796273
pointglück	I	0	0.54195	0.743224437	12.30251558	4.386061557	0.790433864	0.321018528	0.845481662	2.264986626	0.144128558	0.099883348	0.94908135
troy07	I	0	1.023120752	0.666836367	14.71807528	13.39014807	0.333471461	0.290361544	1.447467646	6.801083097	0.253595672	0.374652685	1.949559309
troy13	I	0	0.495299264	1.843585871	21.83915849	10.14014559	0.205204018	0.281381653	2.131538241	2.21613263	0.263321536	0.582900805	0.439155877
troy14	I	0	0.299049938	0.509726088	9.300694899	13.92254275	0.874173057	0.332316572	0.145958281	13.38010791	0.270240514	0.358140186	1.771762902
troy15	I	0	0.42123237	1.623355303	9.001629792	16.6882993	1.09529105	0.478682664	0.723054767	3.306183169	0.302407119	0.262097123	1.01945135
vigmor	I	0	0.870225732	1.601988221	16.71760883	1.985161751	0.345136244	0.202986913	1.90523819	17.51161929	0.554721	0.589453089	2.90170764
SaintSulp9B	I	0	0.341473885	0.453493147	6.991956078	10.62424619	2.025717988	0.384753323	0.868436773	8.925797569	0.336035468	0.372457204	1.045737779
SaintSulp9A	I	0	0.353309143	0.373049987	7.508530195	10.43672937	1.253385796	0.366042488	0.916428928	12.71297979	0.319693818	0.365285002	1.21857926
SaintSulp23B	I	0	0.549239405	0.515795917	12.12188766	12.90455598	1.238136871	0.315170543	1.324988796	8.32429151	0.27526333	0.283797883	1.6213666
SULPA	I	0	0.312523931	0.39412012	6.982183128	16.61345795	0.461825485	0.329415607	0.975630628	9.578933013	0.289435155	0.29853701	2.673339478
SILPB	I	0	0.514425355	0.728713291	8.110478535	17.40094407	0.589014323	0.279219972	1.720112895	11.18870583	0.243864857	0.227916404	2.476725545
